Auditing,Kiểm toán
Company address,Địa chỉ công ty
Company info,Thông tin công ty
Company name,Tên công ty
Company type,Loại hình công ty
Contact info,Thông tin liên hệ
Customer,Khách hàng
Customer info,Thông tin khách hàng
Customer list,Danh sách khách hàng
Customer name,Tên khách hàng
Description,Mô tả
First year audit,Năm kiểm toán đầu tiên
Group name,Tên nhóm
Keyboard Shortcuts,Các phím tắt bàn phím
Legal representative,Người đại diện
Management group,Nhóm quản lý
Management Group,Nhóm quản lý
Manager,Người quản lý
Member type,Phân loại
Number of years audited,Số năm đã kiểm toán
Primary contact,Liên hệ chính
Reload,Nạp lại
Session Defaults,Mặc định phiên
System Manager,Hệ thống quản lý
Tax code,Mã số thuế
View Website,Xem trang web